UserID,CurrentStatus,Date,Steps,Distance,Floors,Calories,ActivityCalories,ActiveMinutes,Group
622JJX8,ACTIVE,1/18/17,8142,3.2,,1906,946,11,Neuro/Uro
622JJX8,ACTIVE,1/19/17,,,,,,,Neuro/Uro
6222V83,ACTIVE,1/15/17,12950,5.9,3,4092,2510,90,ECC Main
6222V83,ACTIVE,1/16/17,5285,2.4,5,2762,971,0,ECC Main
6222V83,ACTIVE,1/17/17,7962,3.7,1,3156,1375,47,ECC Main
6222V83,ACTIVE,1/18/17,5549,2.5,0,2943,1102,10,ECC Main
6222V83,ACTIVE,1/19/17,16,0,0,527,7,0,ECC Main
6222ZDG,ACTIVE,1/15/17,3147,1.3,1,2031,551,18,Clinical and Business Sys
6222ZDG,ACTIVE,1/16/17,6167,2.6,5,2201,802,19,Clinical and Business Sys
6222ZDG,ACTIVE,1/17/17,11689,5,5,2477,1082,68,Clinical and Business Sys
6222ZDG,ACTIVE,1/18/17,5037,2.1,4,2099,655,0,Clinical and Business Sys
6222ZDG,ACTIVE,1/19/17,103,0,0,433,25,0,Clinical and Business Sys
6222VFJ,ACTIVE,1/14/17,9578,4.2,0,2338,1241,0,5WT
6222VFJ,ACTIVE,1/15/17,4901,2.2,0,2075,833,13,5WT
6222VFJ,ACTIVE,1/16/17,3384,1.5,1,1741,404,0,5WT
6222VFJ,ACTIVE,1/17/17,3065,1.4,0,1724,386,0,5WT
6222VFJ,ACTIVE,1/18/17,3044,1.3,0,1753,398,0,5WT
6222VFJ,ACTIVE,1/19/17,37,0,0,374,7,0,5WT
62238ZW,ACTIVE,1/1/17,3150,1.3,0,2375,756,0,Information Systems
62238ZW,ACTIVE,1/2/17,4398,1.9,0,2501,880,13,Information Systems
62238ZW,ACTIVE,1/3/17,5117,2.2,2,2565,912,0,Information Systems
62238ZW,ACTIVE,1/4/17,4734,2,5,2493,881,0,Information Systems
62238ZW,ACTIVE,1/5/17,4478,1.9,3,2573,717,0,Information Systems
62238ZW,ACTIVE,1/6/17,3207,1.4,2,2324,483,0,Information Systems
62238ZW,ACTIVE,1/7/17,2371,1,0,2149,0,0,Information Systems
62238ZW,ACTIVE,1/8/17,,,,,,,Information Systems
62238ZW,ACTIVE,1/10/17,4,0,0,1756,0,0,Information Systems
62238ZW,ACTIVE,1/11/17,,,,,,,Information Systems
62238ZW,ACTIVE,1/12/17,,,,,,,Information Systems
62238ZW,ACTIVE,1/13/17,,,,,,,Information Systems
62238ZW,ACTIVE,1/14/17,,,,,,,Information Systems
62238ZW,ACTIVE,1/15/17,3410,1.4,0,2348,770,0,Information Systems
62238ZW,ACTIVE,1/16/17,4100,1.7,1,2403,805,10,Information Systems
6222VSM,ACTIVE,1/13/17,21824,10,3,4711,3260,263,Medical Short Stay
6222VSM,ACTIVE,1/14/17,19748,9.1,2,4147,2500,104,Medical Short Stay
6222VSM,ACTIVE,1/15/17,19863,9.1,2,4120,2494,186,Medical Short Stay
6222VSM,ACTIVE,1/16/17,21607,10,4,4479,2978,154,Medical Short Stay
6222VSM,ACTIVE,1/17/17,21048,9.7,13,4176,2580,91,Medical Short Stay
6222VSM,ACTIVE,1/18/17,20212,9.3,12,4109,2629,69,Medical Short Stay
6222VSM,ACTIVE,1/19/17,3107,1.4,4,929,488,0,Medical Short Stay
6222Y6Y,ACTIVE,1/13/17,24417,10.5,10,4119,3049,226,Medical Short Stay
6222Y6Y,ACTIVE,1/14/17,17967,8.2,26,3435,2194,132,Medical Short Stay
6222Y6Y,ACTIVE,1/15/17,24022,10.9,0,4037,2869,197,Medical Short Stay
6222Y6Y,ACTIVE,1/16/17,29377,13.1,1,5291,4204,232,Medical Short Stay
6222Y6Y,ACTIVE,1/17/17,31585,14.5,0,4496,3392,254,Medical Short Stay
6222Y6Y,ACTIVE,1/18/17,27513,12.6,0,4443,3264,212,Medical Short Stay
6222Y6Y,ACTIVE,1/19/17,,,,,,,Medical Short Stay
6222VP9,ACTIVE,1/13/17,7270,3.3,15,2064,911,0,North Port ECC
6222VP9,ACTIVE,1/14/17,,,,,,,North Port ECC
6222VP9,ACTIVE,1/16/17,,,,,,,North Port ECC
6222VP9,ACTIVE,1/17/17,,,,,,,North Port ECC
6222VP9,ACTIVE,1/18/17,6396,3,16,2071,914,0,North Port ECC
6222VP9,ACTIVE,1/19/17,175,0.1,0,392,21,0,North Port ECC
6222WLC,ACTIVE,1/13/17,7096,2.9,3,1465,559,9,Information Systems
6222WLC,ACTIVE,1/14/17,19740,9.1,3,2031,1225,102,Information Systems
6222WLC,ACTIVE,1/15/17,8644,3.5,3,1540,691,0,Information Systems
6222WLC,ACTIVE,1/16/17,10597,5.1,1,1308,606,40,Information Systems
6222VDY,ACTIVE,1/12/17,,,,,,,ICU
6222VDY,ACTIVE,1/13/17,,,,,,,ICU
6222VDY,ACTIVE,1/14/17,,,,,,,ICU
6222VDY,ACTIVE,1/15/17,,,,,,,ICU
6222VDY,ACTIVE,1/16/17,,,,,,,ICU
6222VDY,ACTIVE,1/17/17,7875,3.4,1,2528,1333,8,ICU
6222VDY,ACTIVE,1/18/17,,,,,,,ICU
622475V,ACTIVE,1/12/17,15111,6.4,8,2692,1581,58,8ET
622475V,ACTIVE,1/13/17,15007,6.8,4,2683,1550,60,8ET
622475V,ACTIVE,1/14/17,8531,3.1,12,2360,1224,6,8ET
622475V,ACTIVE,1/15/17,9345,3.5,16,2507,1381,27,8ET
622475V,ACTIVE,1/16/17,11280,5.4,4,2345,1085,55,8ET
622475V,ACTIVE,1/17/17,8611,3.3,10,2254,1077,0,8ET
622475V,ACTIVE,1/18/17,12549,6,1,2549,1342,62,8ET
622475V,ACTIVE,1/19/17,5,0,0,367,2,0,8ET
62244Y8,ACTIVE,1/1/17,,,,,,,IFAM
62244Y8,ACTIVE,1/2/17,,,,,,,IFAM
62244Y8,ACTIVE,1/3/17,,,,,,,IFAM
62244Y8,ACTIVE,1/4/17,,,,,,,IFAM
62244Y8,ACTIVE,1/5/17,,,,,,,IFAM
62244Y8,ACTIVE,1/6/17,7823,3.7,0,2101,827,48,IFAM
62244Y8,ACTIVE,1/7/17,9084,3.9,2,2411,1255,57,IFAM
62244Y8,ACTIVE,1/8/17,6123,2.6,0,2035,827,13,IFAM
62244Y8,ACTIVE,1/9/17,11385,5.4,2,2504,1370,44,IFAM
62244Y8,ACTIVE,1/10/17,9186,3.9,0,2233,1116,12,IFAM
62244Y8,ACTIVE,1/11/17,8734,3.8,1,2221,1063,29,IFAM
62244Y8,ACTIVE,1/12/17,10029,4.3,1,2279,1127,44,IFAM
62244Y8,ACTIVE,1/13/17,9228,4.4,1,2128,891,44,IFAM
62244Y8,ACTIVE,1/14/17,9792,4.2,2,2329,1205,53,IFAM
62244Y8,ACTIVE,1/15/17,7380,3.2,2,2124,977,0,IFAM
62244Y8,ACTIVE,1/16/17,10637,4.6,20,2223,1062,32,IFAM
62244Y8,ACTIVE,1/17/17,8286,3.6,1,2103,913,15,IFAM
62244Y8,ACTIVE,1/18/17,11843,5.6,1,2243,1322,64,IFAM
6222WZV,ACTIVE,1/12/17,4331,2,0,2458,793,0,Finance
6222WZV,ACTIVE,1/13/17,4954,2.2,0,2520,875,0,Finance
6222WZV,ACTIVE,1/14/17,13070,5.9,1,3118,1626,46,Finance
6222WZV,ACTIVE,1/15/17,9603,4.3,0,2785,1140,70,Finance
6222WZV,ACTIVE,1/16/17,5939,2.7,2,2558,895,0,Finance
6222WZV,ACTIVE,1/17/17,8010,3.6,0,2737,1139,27,Finance
6222WZV,ACTIVE,1/18/17,5356,2.4,0,2452,744,22,Finance
6222WZV,ACTIVE,1/19/17,,,,,,,Finance
6222WTX,ACTIVE,1/12/17,4389,1.9,0,2472,854,11,8ET
6222WTX,ACTIVE,1/13/17,4739,2,0,2423,887,16,8ET
6222WTX,ACTIVE,1/14/17,10160,4.4,0,3369,2064,7,8ET
6222WTX,ACTIVE,1/15/17,4911,2.1,2,2410,857,7,8ET
6222WTX,ACTIVE,1/16/17,4040,1.7,0,1569,714,21,8ET
62247T9,ACTIVE,1/1/17,7182,3.1,0,1774,709,26,IFAM
62247T9,ACTIVE,1/2/17,9700,4.2,0,2012,985,37,IFAM
62247T9,ACTIVE,1/3/17,18131,7.8,4,2310,1322,111,IFAM
62247T9,ACTIVE,1/4/17,14942,6.4,1,2250,1278,75,IFAM
62247T9,ACTIVE,1/5/17,21158,9.1,1,2617,1729,163,IFAM
62247T9,ACTIVE,1/6/17,11011,4.7,1,2103,1094,49,IFAM
62247T9,ACTIVE,1/7/17,16993,7.3,9,2448,1579,88,IFAM
62247T9,ACTIVE,1/8/17,12343,5.3,7,2410,1542,45,IFAM
62247T9,ACTIVE,1/9/17,12439,5.3,2,2237,1271,73,IFAM
62247T9,ACTIVE,1/10/17,15877,6.8,1,2374,1423,118,IFAM
62247T9,ACTIVE,1/11/17,18787,8.1,4,2667,1768,157,IFAM
62247T9,ACTIVE,1/12/17,16988,7.3,3,2274,1323,116,IFAM
62247T9,ACTIVE,1/13/17,18774,8,1,2522,1644,122,IFAM
62247T9,ACTIVE,1/14/17,23009,9.9,28,2612,1766,86,IFAM
62247T9,ACTIVE,1/15/17,19456,8.4,15,2562,1720,59,IFAM
62247T9,ACTIVE,1/16/17,19408,8.3,3,2482,1606,106,IFAM
62247T9,ACTIVE,1/17/17,24032,10.3,1,2785,1946,194,IFAM
62247T9,ACTIVE,1/18/17,24218,10.4,4,2820,1955,209,IFAM
62247T9,ACTIVE,1/19/17,72,0,0,332,11,0,IFAM
6223WJB,ACTIVE,1/1/17,4745,1.9,0,1840,467,35,Radiology Main
6223WJB,ACTIVE,1/2/17,4752,1.9,0,1916,608,0,Radiology Main
6223WJB,ACTIVE,1/3/17,5626,2.2,1,2073,813,9,Radiology Main
6223WJB,ACTIVE,1/4/17,3508,1.4,2,1831,461,7,Radiology Main
6223WJB,ACTIVE,1/5/17,4678,1.9,1,2187,882,22,Radiology Main
6223WJB,ACTIVE,1/6/17,4078,1.6,0,1834,459,0,Radiology Main
6223WJB,ACTIVE,1/7/17,2259,0.9,0,1715,357,0,Radiology Main
6223WJB,ACTIVE,1/8/17,3415,1.4,0,1819,478,0,Radiology Main
6223WJB,ACTIVE,1/9/17,3888,1.5,1,2022,682,19,Radiology Main
6223WJB,ACTIVE,1/10/17,7027,2.8,4,2358,1149,0,Radiology Main
6223WJB,ACTIVE,1/11/17,7006,2.8,5,2291,1056,0,Radiology Main
6223WJB,ACTIVE,1/12/17,6454,2.6,2,2342,1092,0,Radiology Main
6223WJB,ACTIVE,1/13/17,8405,3.3,0,2278,1045,0,Radiology Main
6223WJB,ACTIVE,1/14/17,3721,1.5,0,1851,508,0,Radiology Main
6223WJB,ACTIVE,1/15/17,3332,1.3,0,1823,490,0,Radiology Main
6223WJB,ACTIVE,1/16/17,5118,2,1,1991,696,0,Radiology Main
6223WJB,ACTIVE,1/17/17,5437,2.2,2,2078,755,0,Radiology Main
6223WJB,ACTIVE,1/18/17,5077,2,0,1492,501,0,Radiology Main
6222WTS,ACTIVE,1/11/17,20012,7.7,7,2251,1524,40,Respiratory Main
6222WTS,ACTIVE,1/12/17,16859,6.5,6,2078,1342,0,Respiratory Main
6222WTS,ACTIVE,1/13/17,16330,6.3,7,2048,1314,9,Respiratory Main
6222WTS,ACTIVE,1/14/17,19512,8.1,6,2160,1281,93,Respiratory Main
6222WTS,ACTIVE,1/15/17,18432,7.5,9,2254,1406,88,Respiratory Main
6222WTS,ACTIVE,1/16/17,18389,7.2,11,2081,1263,76,Respiratory Main
6222WTS,ACTIVE,1/17/17,18481,7.5,9,2223,1387,104,Respiratory Main
6222WTS,ACTIVE,1/18/17,19010,7.4,16,2010,1395,30,Respiratory Main
6222Y3C,ACTIVE,1/11/17,6532,2.9,,2221,708,0,5WT
6222Y3C,ACTIVE,1/12/17,4420,2,,2067,462,0,5WT
6222Y3C,ACTIVE,1/13/17,6009,2.7,,2179,603,45,5WT
6222Y3C,ACTIVE,1/14/17,7224,3.2,,2253,675,50,5WT
6222Y3C,ACTIVE,1/15/17,5831,2.6,,2181,648,0,5WT
6222Y3C,ACTIVE,1/16/17,4108,1.8,,2047,430,0,5WT
6222Y3C,ACTIVE,1/17/17,5270,2.3,,2131,544,11,5WT
6222Y3C,ACTIVE,1/18/17,5856,2.6,,2067,660,0,5WT
62229R8,ACTIVE,1/11/17,8834,3.7,2,2652,1352,16,Medical Short Stay
62229R8,ACTIVE,1/12/17,9367,3.9,1,2635,1338,21,Medical Short Stay
62229R8,ACTIVE,1/13/17,6080,2.5,1,2317,992,16,Medical Short Stay
62229R8,ACTIVE,1/14/17,8179,3.4,2,2764,1523,0,Medical Short Stay
62229R8,ACTIVE,1/15/17,5436,2.3,2,2341,945,0,Medical Short Stay
62229R8,ACTIVE,1/16/17,3116,1.3,0,2129,645,0,Medical Short Stay
62229R8,ACTIVE,1/17/17,8627,3.6,5,2776,1516,0,Medical Short Stay
62229R8,ACTIVE,1/18/17,5157,2.1,3,1540,753,0,Medical Short Stay
6223C2Y,ACTIVE,1/11/17,6174,2.7,2,2246,1012,39,Mother-Baby
6223C2Y,ACTIVE,1/12/17,5748,2.5,2,1961,649,8,Mother-Baby
6223C2Y,ACTIVE,1/13/17,4407,1.9,2,1932,595,0,Mother-Baby
6223C2Y,ACTIVE,1/14/17,26602,11.7,11,3362,2303,226,Mother-Baby
6223C2Y,ACTIVE,1/15/17,5821,2.5,1,2128,851,0,Mother-Baby
6223C2Y,ACTIVE,1/16/17,14598,6.5,2,2597,1435,75,Mother-Baby
6223C2Y,ACTIVE,1/17/17,10152,4.4,0,2535,1448,31,Mother-Baby
6223C2Y,ACTIVE,1/18/17,7646,3.3,0,2443,1446,12,Mother-Baby
6222WX4,ACTIVE,1/11/17,17213,7.8,0,3609,2221,42,OR Main
6222WX4,ACTIVE,1/12/17,17151,7.7,8,3591,2247,0,OR Main
6222WX4,ACTIVE,1/13/17,17531,7.9,2,3679,2392,6,OR Main
6222WX4,ACTIVE,1/14/17,15670,7.1,3,3475,2036,36,OR Main
6222WX4,ACTIVE,1/15/17,10710,4.8,1,3084,1566,0,OR Main
6222WX4,ACTIVE,1/16/17,16206,7.3,3,3593,2253,11,OR Main
6222WX4,ACTIVE,1/17/17,16411,7.4,11,3674,2309,36,OR Main
6222WX4,ACTIVE,1/18/17,20530,9.3,2,3583,2491,58,OR Main
622489Y,ACTIVE,1/11/17,11317,4.6,0,1876,936,36,Human Resources
622489Y,ACTIVE,1/12/17,12057,4.9,0,1876,917,63,Human Resources
622489Y,ACTIVE,1/13/17,11043,4.4,0,1869,946,46,Human Resources
622489Y,ACTIVE,1/14/17,11314,4.5,0,1850,906,53,Human Resources
622489Y,ACTIVE,1/15/17,13224,5.3,0,1906,941,85,Human Resources
622489Y,ACTIVE,1/16/17,10780,4.3,0,1842,903,26,Human Resources
622489Y,ACTIVE,1/17/17,10471,4.2,0,1855,946,45,Human Resources
622489Y,ACTIVE,1/18/17,18117,7.7,0,2227,1327,96,Human Resources
622489Y,ACTIVE,1/19/17,,,,,,,Human Resources
6222VNL,ACTIVE,1/11/17,7857,3.2,0,2295,1072,0,CBO
6222VNL,ACTIVE,1/12/17,8182,3.3,0,2304,1039,13,CBO
6222VNL,ACTIVE,1/13/17,11127,4.5,0,2259,1019,30,CBO
6222VNL,ACTIVE,1/14/17,1703,0.7,0,1667,293,0,CBO
6222VNL,ACTIVE,1/15/17,2223,0.9,0,1667,280,0,CBO
6222VNL,ACTIVE,1/16/17,8433,3.4,0,2227,984,0,CBO
6222VNL,ACTIVE,1/17/17,7637,3.1,0,2145,878,20,CBO
6222VNL,ACTIVE,1/18/17,10255,4.1,0,2315,1042,29,CBO
6222VNL,ACTIVE,1/19/17,,,,,,,CBO
6222D7Z,ACTIVE,1/11/17,11115,4.6,2,2611,1561,0,8CYT
6222D7Z,ACTIVE,1/12/17,11295,5.5,13,2748,1602,95,8CYT
6222D7Z,ACTIVE,1/13/17,9080,3.9,10,2319,1140,24,8CYT
6222D7Z,ACTIVE,1/14/17,9248,4.2,16,2212,950,45,8CYT
6222D7Z,ACTIVE,1/15/17,5038,2.1,2,1970,708,8,8CYT
6222D7Z,ACTIVE,1/16/17,18018,7.9,2,3045,2144,38,8CYT
6222D7Z,ACTIVE,1/17/17,12146,5,4,2491,1486,6,8CYT
6222D7Z,ACTIVE,1/18/17,10338,4.8,0,2398,1215,53,8CYT
6222D7Z,ACTIVE,1/19/17,25,0,0,386,10,0,8CYT
5ZZZW9G,ACTIVE,1/11/17,10073,4.1,7,1660,860,29,NICU
5ZZZW9G,ACTIVE,1/12/17,6512,2.6,10,1520,692,0,NICU
5ZZZW9G,ACTIVE,1/13/17,10098,4.1,7,1643,852,15,NICU
5ZZZW9G,ACTIVE,1/14/17,2789,1.1,0,1216,294,0,NICU
5ZZZW9G,ACTIVE,1/15/17,9980,4.1,6,1570,775,0,NICU
5ZZZW9G,ACTIVE,1/16/17,5772,2.3,0,1434,590,0,NICU
5ZZZW9G,ACTIVE,1/17/17,6703,2.7,2,1422,566,9,NICU
5ZZZW9G,ACTIVE,1/18/17,9132,3.7,8,1413,639,32,NICU
6222Z8S,ACTIVE,1/11/17,7529,3.2,2,2202,1176,12,8ET
6222Z8S,ACTIVE,1/12/17,13965,7,4,2508,1462,85,8ET
6222Z8S,ACTIVE,1/13/17,10078,4.3,1,2318,1316,0,8ET
6222Z8S,ACTIVE,1/14/17,9351,4,0,2213,1234,8,8ET
6222Z8S,ACTIVE,1/15/17,17386,8.5,2,2620,1612,66,8ET
6222Z8S,ACTIVE,1/16/17,19094,9.6,4,2712,1683,85,8ET
6222Z8S,ACTIVE,1/17/17,9243,4,8,2261,1218,0,8ET
6222Z8S,ACTIVE,1/18/17,10485,4.6,1,2243,1239,13,8ET
6222Z8S,ACTIVE,1/19/17,,,,,,,8ET
622485V,ACTIVE,1/11/17,17173,8,12,4614,3067,165,IFAM
622485V,ACTIVE,1/12/17,15679,7.5,16,4171,2538,95,IFAM
622485V,ACTIVE,1/13/17,4439,2.1,7,2749,757,0,IFAM
622485V,ACTIVE,1/14/17,4076,1.9,3,2896,925,50,IFAM
622485V,ACTIVE,1/15/17,10442,5,7,3718,1977,91,IFAM
622485V,ACTIVE,1/16/17,15549,7.4,13,4801,3238,171,IFAM
622485V,ACTIVE,1/17/17,12185,5.8,7,3865,2146,64,IFAM
622485V,ACTIVE,1/18/17,15639,7.5,7,4629,3045,191,IFAM
622485V,ACTIVE,1/19/17,,,,,,,IFAM
6222NCR,ACTIVE,1/11/17,9068,4.3,4,3295,1810,62,ICU
6222NCR,ACTIVE,1/12/17,8511,4.1,5,2785,1247,12,ICU
6222NCR,ACTIVE,1/13/17,12119,5.9,1,3413,1921,65,ICU
6222NCR,ACTIVE,1/14/17,3685,1.8,0,2397,711,0,ICU
6222NCR,ACTIVE,1/15/17,893,0.4,0,2074,287,25,ICU
6222NCR,ACTIVE,1/16/17,3610,1.4,2,2728,1053,83,ICU
6222NCR,ACTIVE,1/17/17,8496,3.6,13,3579,1998,127,ICU
6222NCR,ACTIVE,1/18/17,3961,1.9,3,1827,613,0,ICU
6222VP7,ACTIVE,1/11/17,5293,2.2,,1914,575,0,OR Main
6222VP7,ACTIVE,1/12/17,12769,5.4,,2357,1118,83,OR Main
6222VP7,ACTIVE,1/13/17,4505,1.9,,1809,446,28,OR Main
6222VP7,ACTIVE,1/14/17,2847,1.2,,1718,294,24,OR Main
6222VP7,ACTIVE,1/15/17,7612,3.2,,2087,786,36,OR Main
6222VP7,ACTIVE,1/16/17,5976,2.5,,1932,596,19,OR Main
6222VP7,ACTIVE,1/17/17,9091,3.9,,2156,851,51,OR Main
6222VP7,ACTIVE,1/18/17,6929,2.9,,1973,638,51,OR Main
6222VP7,ACTIVE,1/19/17,54,0,,387,5,0,OR Main
6222KBF,ACTIVE,1/10/17,7343,3,,1632,655,20,CBO
6222KBF,ACTIVE,1/11/17,7953,3.3,,1691,755,19,CBO
6222KBF,ACTIVE,1/12/17,10107,4.2,,1823,946,10,CBO
6222KBF,ACTIVE,1/13/17,8362,3.4,,1706,770,14,CBO
6222KBF,ACTIVE,1/14/17,14432,5.9,,2038,1218,40,CBO
6222KBF,ACTIVE,1/15/17,10918,4.5,,1855,976,54,CBO
6222KBF,ACTIVE,1/16/17,9561,3.9,,1811,924,34,CBO
6222KBF,ACTIVE,1/17/17,8853,3.6,,1780,887,0,CBO
6222KBF,ACTIVE,1/18/17,9203,3.8,,1794,903,17,CBO
6222KBF,ACTIVE,1/19/17,471,0.2,,327,44,0,CBO
6222S8W,ACTIVE,1/10/17,12404,5.9,11,3420,1885,38,TPCU
6222S8W,ACTIVE,1/11/17,8846,4.2,3,3106,1471,37,TPCU
6222S8W,ACTIVE,1/12/17,5667,2.7,3,2671,1001,0,TPCU
6222S8W,ACTIVE,1/13/17,9467,4.6,8,3310,1775,10,TPCU
6222S8W,ACTIVE,1/14/17,6470,3.1,0,2809,1181,77,TPCU
6222S8W,ACTIVE,1/15/17,8922,4.3,0,3207,1686,38,TPCU
6222S8W,ACTIVE,1/16/17,9944,4.7,2,3141,1623,15,TPCU
6222S8W,ACTIVE,1/17/17,6000,2.9,2,1888,1225,0,TPCU
6222S93,ACTIVE,1/10/17,13885,6.4,0,2226,1218,109,PT Main Campus
6222S93,ACTIVE,1/11/17,15256,6.7,4,2481,1571,152,PT Main Campus
6222S93,ACTIVE,1/12/17,5744,2.4,2,1792,749,19,PT Main Campus
6222S93,ACTIVE,1/13/17,17466,8.6,8,2430,1520,104,PT Main Campus
6222S93,ACTIVE,1/14/17,12019,5,15,2462,1625,28,PT Main Campus
6222S93,ACTIVE,1/15/17,21574,10,6,2736,1877,220,PT Main Campus
6222S93,ACTIVE,1/16/17,8263,3.4,1,2100,1120,52,PT Main Campus
6222S93,ACTIVE,1/17/17,16578,7.7,4,2256,1284,107,PT Main Campus
6222S93,ACTIVE,1/18/17,4777,2,0,1709,620,0,PT Main Campus
6222S93,ACTIVE,1/19/17,,,,,,,PT Main Campus
6222K2S,ACTIVE,1/10/17,19653,10.8,21,4397,3144,67,North Port ECC
6222K2S,ACTIVE,1/11/17,13130,7.7,3,3638,1851,73,North Port ECC
6222K2S,ACTIVE,1/12/17,25607,12.4,0,4122,2722,167,North Port ECC
6222K2S,ACTIVE,1/13/17,29377,15,3,4550,3222,247,North Port ECC
6222K2S,ACTIVE,1/14/17,21321,10.2,8,4238,2936,117,North Port ECC
6222K2S,ACTIVE,1/15/17,16765,8.3,12,3595,2232,81,North Port ECC
6222K2S,ACTIVE,1/16/17,13166,6.3,34,3607,2290,0,North Port ECC
6222K2S,ACTIVE,1/17/17,13851,7.9,12,3730,2335,46,North Port ECC
6222K2S,ACTIVE,1/18/17,23635,13,35,4787,3563,110,North Port ECC
6222K2S,ACTIVE,1/19/17,76,0,0,20,10,0,North Port ECC
6222KC8,ACTIVE,1/10/17,18239,8,45,2208,1342,89,Radiology Main
6222KC8,ACTIVE,1/11/17,9051,3.6,19,1811,944,0,Radiology Main
